# VELOCITY:     ACTUAL_POFV:
    0.166667  0.00944444
         0.5   0.0938889
    0.833333    0.238333
     1.16667    0.405556
         1.5    0.541667
     1.83333    0.396667
     2.16667    0.327778
         2.5    0.383889
     2.83333    0.276111
     3.16667   0.0716667
         3.5    0.101667
     3.83333    0.150556
     4.16667  0.00277778
         4.5           0
     4.83333           0
     5.16667           0
         5.5           0
     5.83333           0
     6.16667           0
         6.5           0
     6.83333           0
     7.16667           0
         7.5           0
     7.83333           0
     8.16667           0
         8.5           0
     8.83333           0
     9.16667           0
         9.5           0
     9.83333           0
